"Flow","Type","Name","ActionName","ActionType","Details"
"AI_Feedback_to_Prompt.flow-meta","ActionCall","For_Legal_Structure_field","Grant_Field_Feedback_Template","generatePromptResponse","Input:question=; Input:response="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","For_Organizatonal_Field","Grant_Field_Feedback_Template","generatePromptResponse","Input:question=; Input:response="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Livelihood_Approach_Action","Grant_Field_Feedback_Template","generatePromptResponse","Input:question=; Input:response="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Job_Creation_Approach","Grant_Field_Feedback_Template","generatePromptResponse","Input:question=; Input:response="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Operational_Synergies","Grant_Field_Feedback_Template","generatePromptResponse","Input:response=; Input:question="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Operational_Synergies_Both1","Grant_Field_Feedback_Template","generatePromptResponse","Input:response=; Input:question="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Operational_Synergies_JC","Grant_Field_Feedback_Template","generatePromptResponse","Input:response=; Input:question="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Revenue_Explaination","Grant_Field_Feedback_Template","generatePromptResponse","Input:response=; Input:question={!$Label.CL_Revenue_Explanation}"
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Skilling_approach","Grant_Field_Feedback_Template","generatePromptResponse","Input:response=; Input:question="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Use_of_Additional_Funding_JC","Grant_Field_Feedback_Template","generatePromptResponse","Input:question=; Input:response="
"AI_Feedback_to_Prompt.flow-meta","ActionCall","Use_of_Additional_Funds","Grant_Field_Feedback_Template","generatePromptResponse","Input:question=; Input:response="
"AI_Feedback_Update_in_Proposal.flow-meta","ActionCall","Proposal_AI_Feedback_Update_Prompt2","Proposal_AI_Feedback_Update_Prompt2","generatePromptResponse","Input:jobCreationApproach="
"AI_Feedback_Update_in_Proposal.flow-meta","ActionCall","Send_prompt_response_to_APex","ProposalAIUpdater_WCF","apex","aiJson=; aiJson2=; proposalId="
"AI_Feedback_Update_in_Proposal.flow-meta","ActionCall","Send_the_values_to_Prompt","Proposal_AI_Feedback_Update_Prompt","generatePromptResponse","Input:orgSustainabilityResponse=; Input:skillingApproach=; Input:operationalSynergyResponse=; Input:legalStructureResponse=; Input:useOfFundsResponse="
"Approval_History_Question_Ask_to_Win_Email_Updates.flow-meta","ActionCall","Notify_Coe","customNotificationAction","customNotificationAction","customNotifTypeId=; recipientIds=; title=WIN Admin Responded to Your Clarification; body=; targetId="
"Approval_History_Question_Ask_to_Win_Email_Updates.flow-meta","ActionCall","Notify_WINAdmin","customNotificationAction","customNotificationAction","customNotifTypeId=; recipientIds=; title=COE Raised a Clarification; body=; targetId="
"Approval_History_Question_Ask_to_Win_Email_Updates.flow-meta","ActionCall","Send_Email_to_COE_Team","emailSimple","emailSimple","recipientAddresses=; composeEmailContent=True; emailSubject=WIN Response to COE Clarification; emailBody=<p>{!Coe_to_WIN_Body}</p>; sendRichBody="
"Approval_History_Question_Ask_to_Win_Email_Updates.flow-meta","ActionCall","Send_Email_to_WIN_Team","emailSimple","emailSimple","recipientAddresses=; composeEmailContent=True; emailSubject=Clarification Required on Proposal Review; emailBody=<p>{!Coe_to_WIN_Body}</p>; sendRichBody="
